# 仓库最后更新时间: 2026-08-06 07:34:05
公   告,#genre#
CCTV5,http://14.153.176.108:1234/641886683$LR•IPV4『线路18』
CCTV5,http://42.94.210.221:7788/641886683$LR•IPV4『线路19』
CCTV5,http://223.83.177.142:1234/641886773$LR•IPV4『线路20』
CCTV5,http://123.118.55.165:45237/tsfile/live/0016_2.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路21』
CCTV5,http://111.228.4.117:6789/migu720p.php?id=641886683$LR•IPV4『线路22』
CCTV5,http://27.12.12.100:1234/641886683$LR•IPV4『线路23』
CCTV5,http://47.104.178.59:3566/641886683$LR•IPV4『线路24』
CCTV5,http://223.83.177.142:1234/641886683$LR•IPV4『线路25』
CCTV5,http://8.135.27.147:1234/641886683$LR•IPV4『线路26』
CCTV5,http://116.52.173.194:1234/641886683$LR•IPV4『线路27』
CCTV5,http://153.0.171.163:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路28』
CCTV5,http://123.118.55.165:45237/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路29』
CCTV5,http://69.30.245.50/live/cctv5.m3u8$LR•IPV4『线路30』
CCTV5,http://1.24.39.180:9003/hls/5/index.m3u8$LR•IPV4『线路31』
CCTV5,http://113.57.140.161:10081/newlive/live/hls/6/live.m3u8$LR•IPV4『线路32』
CCTV5,http://bztv.tvbus.cc:8081/cdnlive/cctv5.m3u8$LR•IPV4『线路33』
CCTV5,http://107.150.60.122/live/cctv5hd.m3u8$LR•IPV4『线路34』
CCTV5+,http://221.7.175.154:8445/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路1』
CCTV5+,http://221.205.207.120:9003/hls/6/index.m3u8$LR•IPV4『线路2』
CCTV5+,http://117.161.12.116/live/program/live/cctv5phd8m/8000000/mnf.m3u8$LR•IPV4『线路3』
CCTV5+,http://120.224.178.16:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV5+,http://111.160.17.2:59901/tsfile/live/0001_6.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV5+,http://111.29.9.33:6610/000000001000/1000000001000020505/index.m3u8?channel-id=bestzb&Contentid=1000000001000020505&livemode=1&stbId=3$LR•IPV4『线路6』
CCTV5+,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226711/1.m3u8$LR•IPV4『线路7』
CCTV5+,http://111.8.224.6:9999/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路8』
CCTV5+,http://113.120.243.10:7788/641886773$LR•IPV4『线路9』
CCTV5+,http://47.104.178.59:3566/641886773$LR•IPV4『线路10』
CCTV5+,http://223.247.25.247:1234/641886773$LR•IPV4『线路11』
CCTV5+,http://116.52.173.194:1234/641886773$LR•IPV4『线路12』
CCTV5+,http://27.12.12.100:1234/641886773$LR•IPV4『线路13』
CCTV5+,http://14.153.176.108:1234/641886773$LR•IPV4『线路14』
CCTV5+,http://8.135.27.147:1234/641886773$LR•IPV4『线路15』
CCTV5+,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8$LR•IPV4『线路16』
CCTV5+,http://110.154.192.36:7788/641886773$LR•IPV4『线路17』
CCTV5+,http://183.129.255.66:8480/hls/6/index.m3u8$LR•IPV4『线路18』
CCTV5+,http://42.94.210.221:7788/641886773$LR•IPV4『线路19』
CCTV5+,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5p$LR•IPV4『线路20』
CCTV6,http://221.7.175.154:8445/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路1』
CCTV6,http://221.205.207.120:9003/hls/7/index.m3u8$LR•IPV4『线路2』
CCTV6,http://117.161.12.116/live/program/live/cctv6hd8m/8000000/mnf.m3u8$LR•IPV4『线路3』
CCTV6,http://120.224.178.16:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV6,http://111.160.17.2:59901/tsfile/live/0001_7.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV6,http://124.128.73.58:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路6』
CCTV6,http://123.182.60.29:9002/hls/6/index.m3u8$LR•IPV4『线路7』
CCTV6,http://116.9.204.242:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路8』
CCTV6,http://171.15.18.199:8180/TV00000000000000000006@HHZT$LR•IPV4『线路9』
CCTV6,http://111.29.9.33:6610/000000001000/1000000001000016466/index.m3u8?channel-id=bestzb&Contentid=1000000001000016466&livemode=1&stbId=3$LR•IPV4『线路10』
CCTV6,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226699/1.m3u8$LR•IPV4『线路11』
CCTV6,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub$LR•IPV4『线路12』
CCTV6,http://112.30.73.119:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路13』
CCTV6,http://112.30.73.119:9901/tsfile/live/1423_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路14』
CCTV6,http://123.118.55.165:45237/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路15』
CCTV6,http://223.247.25.247:1234/624878396$LR•IPV4『线路16』
CCTV6,http://27.12.12.100:1234/624878396$LR•IPV4『线路17』
CCTV6,http://14.153.176.108:1234/624878396$LR•IPV4『线路18』
CCTV6,http://8.135.27.147:1234/624878396$LR•IPV4『线路19』
CCTV6,http://111.228.4.117:6789/migu720p.php?id=624878396$LR•IPV4『线路20』
CCTV6,http://47.104.178.59:3566/624878396$LR•IPV4『线路21』
CCTV6,http://1.24.39.180:9003/hls/6/index.m3u8$LR•IPV4『线路22』
CCTV6,http://153.0.171.163:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路23』
CCTV6,http://110.154.192.36:7788/624878396$LR•IPV4『线路24』
CCTV6,http://113.57.140.161:10081/newlive/live/hls/7/live.m3u8$LR•IPV4『线路25』
CCTV6,http://192.151.150.154/live/cctv6hd.m3u8$LR•IPV4『线路26』
CCTV6,http://107.150.60.122/live/cctv6hd.m3u8$LR•IPV4『线路27』
CCTV6,http://183.223.157.33:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路28』
CCTV7,http://221.7.175.154:8445/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路1』
CCTV7,http://221.205.207.120:9003/hls/8/index.m3u8$LR•IPV4『线路2』
CCTV7,http://117.161.12.116/live/program/live/cctv7hd8m/8000000/mnf.m3u8$LR•IPV4『线路3』
CCTV7,http://120.224.178.16:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV7,http://111.160.17.2:59901/tsfile/live/0001_8.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV7,http://124.128.73.58:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路6』
CCTV7,http://123.182.60.29:9002/hls/9/index.m3u8$LR•IPV4『线路7』
CCTV7,http://116.9.204.242:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路8』
CCTV7,http://171.15.18.199:8180/TV00000000000000000007@HHZT$LR•IPV4『线路9』
CCTV7,http://111.29.9.33:6610/000000001000/1000000001000017218/index.m3u8?channel-id=bestzb&Contentid=1000000001000017218&livemode=1&stbId=3$LR•IPV4『线路10』
CCTV7,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226721/1.m3u8$LR•IPV4『线路11』
CCTV7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub$LR•IPV4『线路12』
CCTV7,http://47.104.178.59:3566/673168121$LR•IPV4『线路13』
CCTV7,http://111.228.4.117:6789/migu720p.php?id=673168121$LR•IPV4『线路14』
CCTV7,http://223.247.25.247:1234/673168121$LR•IPV4『线路15』
CCTV7,http://113.120.243.10:7788/673168121$LR•IPV4『线路16』
CCTV7,http://110.154.192.36:7788/673168121$LR•IPV4『线路17』
CCTV7,http://14.153.176.108:1234/673168121$LR•IPV4『线路18』
CCTV7,http://116.52.173.194:1234/673168121$LR•IPV4『线路19』
CCTV7,http://42.94.210.221:7788/673168121$LR•IPV4『线路20』
CCTV7,http://111.4.59.41:60901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路21』
CCTV7,http://27.12.12.100:1234/673168121$LR•IPV4『线路22』
CCTV7,http://8.135.27.147:1234/673168121$LR•IPV4『线路23』
CCTV7,http://223.78.65.165:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路24』
CCTV7,http://153.0.171.163:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路25』
CCTV7,http://139.227.21.22:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路26』
CCTV7,http://192.151.150.154/live/cctv7hd.m3u8$LR•IPV4『线路27』
CCTV7,http://113.57.140.161:10081/newlive/live/hls/8/live.m3u8$LR•IPV4『线路28』
CCTV7,http://107.150.60.122/live/cctv7hd.m3u8$LR•IPV4『线路29』
CCTV7,http://1.24.39.180:9003/hls/7/index.m3u8$LR•IPV4『线路30』
CCTV8,http://221.7.175.154:8445/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路1』
CCTV8,http://221.205.207.120:9003/hls/9/index.m3u8$LR•IPV4『线路2』
CCTV8,http://117.161.12.116/live/program/live/cctv8hd8m/8000000/mnf.m3u8$LR•IPV4『线路3』
CCTV8,http://120.224.178.16:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV8,http://111.160.17.2:59901/tsfile/live/0001_9.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV8,http://124.128.73.58:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路6』
CCTV8,http://123.182.60.29:9002/hls/8/index.m3u8$LR•IPV4『线路7』
CCTV8,http://116.9.204.242:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路8』
CCTV8,http://171.15.18.199:8180/TV00000000000000000008@HHZT$LR•IPV4『线路9』
CCTV8,http://111.29.9.33:6610/000000001000/1000000001000003736/index.m3u8?channel-id=bestzb&Contentid=1000000001000003736&livemode=1&stbId=3$LR•IPV4『线路10』
CCTV8,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226715/1.m3u8$LR•IPV4『线路11』
CCTV8,http://38.75.136.137:98/gslb/dsdqpub/cctv8hd.m3u8?auth=testpub$LR•IPV4『线路12』
CCTV8,http://112.30.73.119:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路13』
CCTV8,http://112.30.73.119:9901/tsfile/live/1424_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路14』
CCTV8,http://123.118.55.165:45237/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路15』
CCTV8,http://124.165.251.82:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路16』
CCTV8,http://1.24.39.180:9003/hls/8/index.m3u8$LR•IPV4『线路17』
CCTV8,http://111.4.59.41:60901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路18』
CCTV8,http://223.78.65.165:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路19』
CCTV8,http://153.0.171.163:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路20』
CCTV8,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub$LR•IPV4『线路21』
CCTV8,http://69.30.245.50/live/cctv8.m3u8$LR•IPV4『线路22』
CCTV8,http://14.153.176.108:1234/624878356$LR•IPV4『线路23』
CCTV9,http://221.7.175.154:8445/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路1』
CCTV9,http://117.161.12.116/live/program/live/cctv9hd8m/8000000/mnf.m3u8$LR•IPV4『线路2』
CCTV9,http://120.224.178.16:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
CCTV9,http://111.160.17.2:59901/tsfile/live/0001_10.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV9,http://124.128.73.58:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
